HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Image_url,commands,Approve,Reject
3R16PJFTS3LONJOJEYCWMFSM6KDK4M,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:48 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:58 PDT 2015,,,3TS1AR6UQR8DC4CH5OO7XYFBDUS7F1,A2S62I2ECXDSVP,Approved,Mon Oct 12 12:33:12 PDT 2015,Mon Oct 12 12:36:55 PDT 2015,Tue Oct 13 00:36:55 PDT 2015,2015-10-13 07:40:17 UTC,,,223,100% (8/8),100% (8/8),100% (8/8),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0933.gif,"Place one block on the lower left</br>place another block directly above it</br>put another block on the right side of the previous block</br>repeat the last step until you have a horizontal line made of four blocks</br>on the right most block, place another block on the bottom side </br>refer back to the horizontal line of 4 blocks</br>place a block on the second left-most block on the top</br>repeat this until you have added three new blocks in a vertical fashion</br>Lastly, place a block on the right-most edge of the tallest block",X,
3ZZAYRN1I6LRUVOORR5X14LN6O4OT6,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:52 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 19 10:21:52 PDT 2015,,,3ON104KXQLQI43GTTF00YAH1HVW4WG,A8UA3KS8E7WTZ,Approved,Mon Oct 12 13:10:02 PDT 2015,Mon Oct 12 13:16:08 PDT 2015,Tue Oct 13 01:16:08 PDT 2015,2015-10-13 08:20:17 UTC,,,366,100% (11/11),100% (11/11),100% (11/11),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0983.gif,"Create a horizontal row of 4 blocks.  This is your top row.</br></br>Place one block below the second block, counting from left to right, in your horizontal row.</br></br>Place two blocks, straight down, below the third block, again counting from left to right, in your horizontal row.  </br></br>Place three blocks, straight down, below the fourth block, the block furthest to the right, in your horizontal row.",X,
3W31J70BASQRIN1Y7DIE5D4AYXVCKS,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:31 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:56 PDT 2015,,,30ZX6P7VF9PMV517I2YXG5QVVLOJ21,A1MYLQQL8BBOYT,Approved,Mon Oct 12 12:50:15 PDT 2015,Mon Oct 12 12:51:11 PDT 2015,Tue Oct 13 00:51:11 PDT 2015,Mon Oct 12 22:24:39 PDT 2015,,,56,100% (100/100),100% (100/100),100% (100/100),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0308.gif,"Place a row of five blocks.</br>Above the first block, place a column of two blocks.</br>Above the second, third and fourth blocks, place one block each.",X,
375VSR8FVW3QDKP3PBBJHNR927AZR6,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:50 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:36:06 PDT 2015,,,3TMSXRD2X7U1C4JA6XHY0CAY5BHW1Q,A1NGGAVIGC9O7V,Approved,Mon Oct 12 12:24:11 PDT 2015,Mon Oct 12 12:25:36 PDT 2015,Tue Oct 13 00:25:36 PDT 2015,Mon Oct 12 22:23:26 PDT 2015,,,85,100% (109/109),100% (109/109),100% (109/109),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0961.gif,Place a horizontal row of five blocks.</br>Place one block below the second block from the right of that row.</br>Place three blocks above the middle block in the original row of five blocks.</br>Place one block to the right of the top block in the column of four blocks you just created.,X,
3NBFJK3IOHCNPQ2I7R6Q2L6YGUWOGX,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:38 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:31 PDT 2015,,,3TR2532VIQOAD6K854A06I77BQK6JZ,A2WKZI3JQCE3Z6,Approved,Mon Oct 12 12:02:58 PDT 2015,Mon Oct 12 12:09:47 PDT 2015,Tue Oct 13 00:09:47 PDT 2015,Mon Oct 12 22:24:11 PDT 2015,,,409,100% (134/134),100% (134/134),100% (134/134),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0802.gif,"Place a block.</br>Place one underneath it.</br>Move down and place 5 blocks, with the 4th under the block in the prior row.</br>Move down and place blocks under the 1st and 4th blocks in the prior row.</br>Move down and place a block under the 1st block of the prior row.",X,
33N1S8XHHMF2KFQMRHW4BW9WY9H1ZD,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:34 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:54 PDT 2015,,,37W3JXSD672Y2AUDIMO7EZL8CWWWYU,A2AWBDW9V1E9KT,Approved,Mon Oct 12 13:21:19 PDT 2015,Mon Oct 12 14:19:04 PDT 2015,Tue Oct 13 02:19:04 PDT 2015,Mon Oct 12 22:23:17 PDT 2015,,,3465,100% (94/94),100% (94/94),100% (94/94),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0122.gif,"Begin with a vertical line of 5 blocks. Call these A, B, C, D, and E, starting from the top. </br>Put 2 blocks to the left of A.</br>Put 1 block to the left of D. </br>Put 2 blocks to the left of E",X,
35A1YQPVFEAFD72VS0AUERJNECKI5F,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:38 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:36:12 PDT 2015,,,3YMTUJH0DTAQCMCZYAVPBQA2D104TC,A2WKZI3JQCE3Z6,Approved,Mon Oct 12 11:24:38 PDT 2015,Mon Oct 12 11:25:30 PDT 2015,Mon Oct 12 23:25:30 PDT 2015,Mon Oct 12 22:23:23 PDT 2015,,,52,100% (134/134),100% (134/134),100% (134/134),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0399.gif,"Place a block.</br>Move down a row and place two blcoks with the last one under the previous block.</br>Move down and place one under the previous row's last block.</br>Move downa nd place 5 blocks in a row, with the 2nd to last under the preious block.</br>Move down and place a block under the 2nd to last block of the previous row.",X,
338GLSUI435W9IYG3OHH45GNC40FSN,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:46 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 19 10:21:46 PDT 2015,,,3EO896NRAXPGF4VK1HITHSZLVYQTJS,A2O7H7VXLFN6BP,Approved,Mon Oct 12 11:29:55 PDT 2015,Mon Oct 12 11:30:38 PDT 2015,Mon Oct 12 23:30:38 PDT 2015,Mon Oct 12 22:23:15 PDT 2015,,,43,100% (54/54),100% (54/54),100% (54/54),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0902.gif,Place 1 block somewhere near the middle of the grid.</br>Place 4 blocks to the right of the starting block.</br>Find the third block in that row.</br>Place 2 blocks under it.</br>Find the fourth block in the original row.</br>Place 3 blocks under it.,X,
3E22YV8GG10BKIV59VW0H5KLRBFNPM,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:22:01 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:36:19 PDT 2015,,,31IBVUNM9TTFNUDDNMRN3CVEZC7FV9,A8L450UGY77XB,Approved,Mon Oct 12 13:37:50 PDT 2015,Mon Oct 12 13:56:49 PDT 2015,Tue Oct 13 01:56:49 PDT 2015,2015-10-13 09:00:16 UTC,,,1139,100% (37/37),100% (11/11),100% (11/11),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0778.gif,Place an initial block.</br>Place 1 block below the initial block.</br>Place 3 blocks above the initial block.</br>Place 3 blocks to the right of the initial block.</br>Place 2 blocks above the 3rd block to the right of the initial block.,X,
3VP28W7DUNETAUKUYGBP0YDQZJ0FZS,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:50 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:36:06 PDT 2015,,,3QBD8R3Z22DAZU7R2T9QHG4FETO4OV,AWDBHQA8XK0G1,Approved,Mon Oct 12 11:59:23 PDT 2015,Mon Oct 12 12:01:25 PDT 2015,Tue Oct 13 00:01:25 PDT 2015,2015-10-13 07:05:17 UTC,,,122,100% (8/8),100% (8/8),100% (8/8),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0962.gif,"Place four blocks vertically on top of each other.</br>Place three blocks vertically on the right side next to the blocks from the previous step, starting from the bottom block.</br>Place three blocks horizontally on the left side next to the bottom block from the first step.",X,
